parliamentarian_1,parliamentarian_2,proportion_agreement
"Cid, Sofía","Pizarro, Lorena",0.9393939393939394
"Barrera, Boris","Coloma, Juan Antonio",0.9407114624505929
"Sánchez, Luis","Winter, Gonzalo",0.9407114624505929
"Araya, Cristián","Ramírez, Matías",0.9407114624505929
"Alessandri, Jorge","Castillo, Nathalie",0.9420289855072463
"Bobadilla, Sergio","Cariola, Karol",0.9420289855072463
"Castillo, Nathalie","Celis, Andrés",0.9420289855072463
"Naveillan, Gloria","Sagardia, Clara",0.9420289855072463
"Ibáñez, Diego","Meza, José Carlos",0.9433465085638999
"Pizarro, Lorena","Teao, Hotuiti",0.9433465085638999
"Riquelme, Marcela","Romero, Agustín",0.9433465085638999
"Kaiser, Johannes","Yeomans, Gael",0.9433465085638999
"Kaiser, Johannes","Sagardia, Clara",0.9433465085638999
"Gazmuri, Ana María","Sánchez, Luis",0.9433465085638999
"Palma, Hernán","Sánchez, Luis",0.9446640316205533
"Delgado, Viviana","Flores, Camila",0.9446640316205533
"De la Carrera, Gonzalo","González, Félix",0.9459815546772069
"Concha, Sara","Mix, Claudia",0.9459815546772069
"Barchiesi, Chiara","Placencia, Alejandra",0.9459815546772069
"Kaiser, Johannes","Morales, Javiera",0.9459815546772069
"Giordano, Andrés","Sánchez, Luis",0.9459815546772069
"Ilabaca, Marcos","Romero, Leonidas",0.9459815546772069
"Araya, Cristián","Barrera, Boris",0.9459815546772069
"Labra, Paula","Ramírez, Matías",0.9459815546772069
"Coloma, Juan Antonio","Ramírez, Matías",0.9459815546772069
"Cid, Sofía","Serrano, Daniela",0.9459815546772069
"Hertz, Carmen","Sulantay, Marco Antonio",0.9472990777338604
"Barchiesi, Chiara","Tello, Carolina",0.9472990777338604
"Barchiesi, Chiara","Riquelme, Marcela",0.9472990777338604
"Alessandri, Jorge","Pizarro, Lorena",0.9472990777338604
"Palma, Hernán","Romero, Agustín",0.9472990777338604
"Benavente, Gustavo","Castillo, Nathalie",0.9486166007905138
"Becker, Miguel Ángel","Hertz, Carmen",0.9486166007905138
"Acevedo, María Candelaria","Moreno, Benjamín",0.9486166007905138
"Hertz, Carmen","Mellado, Miguel",0.9486166007905138
"Placencia, Alejandra","Schubert, Stephan",0.9486166007905138
"Lilayu, Daniel","Winter, Gonzalo",0.9486166007905138
"Gazmuri, Ana María","Weisse, Flor",0.9499341238471674
"Barchiesi, Chiara","Ibáñez, Diego",0.9499341238471674
