level_0,index,parliamentarian_1,parliamentarian_2,proportion_agreement,region_1,region_2,partido_1,partido_2,Diputado_1,Diputado_2,sector_1,sector_2,person_1,person_2,label,sentiment,weight,node_vector_1,node_vector_2,same_party,same_sector,same_region,weight_edge,community_1,community_2,same_comunity,y_binaria,normalized_agreement
21,572,"Meza, Jose Carlos","Tello, Carolina",1.0013175230566536,Región Metropolitana de Santiago (47),Región de Coquimbo (7),PLR,PCCh,Jose Carlos Meza Pereira,Carolina Tello Rojas,derecha,izquierda,jose meza,carolina tello,positive,,3.0,"(-0.17355649173259735, 0.5320616364479065, 0.5545992255210876, -0.5857445597648621, 0.3285762667655945, 0.7271021008491516, 0.6258922815322876, 0.5592563152313232, 0.5140314102172852, -0.37967318296432495, 0.21588590741157532, -0.03500974550843239)","(-0.3081878125667572, 0.549185037612915, 0.1654253900051117, -0.10046015679836273, 0.9217999577522278, 0.7042593955993652, 0.6638128757476807, 0.1702796369791031, 0.45250529050827026, -0.5671365261077881, 0.4017675817012787, -0.19042269885540009)",0,0,0,1.5,4.0,4.0,1,0,0.0946215139442232
22,584,"Hertz, Carmen","Ossandon, Ximena",1.002635046113307,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,RN,Carmen Hertz Cadiz,Ximena Ossandon Irarrazabal,izquierda,centro_derecha,carmen hertz,ximena ossandon,negative,,0.5,"(-0.4476974308490753, 0.8539400100708008, -0.11642324179410934, 0.15861710906028748, 0.21785719692707062, -0.3534746766090393, -0.07554683834314346, 0.029872344806790352, 0.060220491141080856, 0.16848766803741455, 0.3126264810562134, 0.12398318946361542)","(-0.5419028997421265, 1.1030960083007812, -0.19230298697948456, 0.6562266945838928, 0.244498148560524, -0.5841740965843201, -0.5013120174407959, -0.22583267092704773, 0.3250734508037567, 0.3020142912864685, 1.0541129112243652, 0.5033338069915771)",0,0,1,-1.0,0.0,9.0,0,0,0.09561752988047807
23,635,"Morales, Javiera","Schalper, Diego",1.0065876152832676,Región de Magallanes y la Antártica Chilena (3),Región del Libertador General Bernardo O'Higgins (9),CS,RN,Javiera Morales Alvarado,Diego Schalper Sepulveda,izquierda,centro_derecha,javiera morales,diego schalper,positive,,3.0,"(0.06960955262184143, -0.10713828355073929, -0.2262660562992096, -0.12552326917648315, -0.012485487386584282, -0.21447904407978058, 0.783318281173706, -0.3399776816368103, -0.49533000588417053, 0.6580662131309509, -0.5619789361953735, -0.25006839632987976)","(0.5000088214874268, -0.012865266762673855, 0.09449426084756851, 0.13503797352313995, 0.8302730917930603, 0.06918229907751083, -0.04271029308438301, 0.020726988092064857, -0.43890637159347534, 0.23074309527873993, -0.03886774554848671, -0.4402972459793091)",0,0,0,1.5,1.0,3.0,0,0,0.09860557768924316
24,725,"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,johannes kaiser,emilia schneider,negative,,0.5,"(0.09175875782966614, -0.7036693096160889, -0.12319058924913406, -0.13710972666740417, 0.11400880664587021, -0.5006994605064392, -0.06157030537724495, -0.014230264350771904, 0.6679415702819824, -0.6311754584312439, -0.45538759231567383, 0.09736055135726929)","(-0.12497413903474808, -0.7421749234199524, 0.688690185546875, 0.16316275298595428, -0.27976399660110474, 0.20489300787448883, -0.01257383543998003, 0.038936905562877655, 0.37774309515953064, -0.08266038447618484, -0.4021376967430115, -0.019738422706723213)",0,0,1,-1.0,5.0,1.0,0,0,0.10458167330677301
25,729,"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,johannes kaiser,emilia schneider,neutral,,2.0,"(0.09175875782966614, -0.7036693096160889, -0.12319058924913406, -0.13710972666740417, 0.11400880664587021, -0.5006994605064392, -0.06157030537724495, -0.014230264350771904, 0.6679415702819824, -0.6311754584312439, -0.45538759231567383, 0.09736055135726929)","(-0.12497413903474808, -0.7421749234199524, 0.688690185546875, 0.16316275298595428, -0.27976399660110474, 0.20489300787448883, -0.01257383543998003, 0.038936905562877655, 0.37774309515953064, -0.08266038447618484, -0.4021376967430115, -0.019738422706723213)",0,0,1,0.5,5.0,1.0,0,0,0.10458167330677301
26,767,"Acevedo, Maria Candelaria","Moreira, Cristhian",1.0171277997364954,Región del Biobío (13),Región Metropolitana de Santiago (47),PCCh,UDI,Maria Candelaria Acevedo Saez,Cristhian Moreira Barros,izquierda,centro_derecha,candelaria acevedo,cristhian moreira,positive,,3.0,"(-0.1772923320531845, 0.8124851584434509, -0.391501784324646, 0.02649626135826111, -0.27370935678482056, -0.0935874655842781, 0.07151135057210922, -0.4815962612628937, 0.11742003262042999, 0.0648474171757698, -0.2737222909927368, -0.219064861536026)","(0.7479811310768127, 0.5169054865837097, -0.7498553395271301, 0.5123915672302246, -0.12859058380126953, 0.30000174045562744, 0.25457116961479187, -0.22760504484176636, 0.12865081429481506, -0.02503875456750393, 0.0218609981238842, -0.02783532440662384)",0,0,0,1.5,0.0,6.0,0,0,0.1065737051792829
27,768,"Acevedo, Maria Candelaria","Moreira, Cristhian",1.0171277997364954,Región del Biobío (13),Región Metropolitana de Santiago (47),PCCh,UDI,Maria Candelaria Acevedo Saez,Cristhian Moreira Barros,izquierda,centro_derecha,candelaria acevedo,cristhian moreira,neutral,,2.0,"(-0.1772923320531845, 0.8124851584434509, -0.391501784324646, 0.02649626135826111, -0.27370935678482056, -0.0935874655842781, 0.07151135057210922, -0.4815962612628937, 0.11742003262042999, 0.0648474171757698, -0.2737222909927368, -0.219064861536026)","(0.7479811310768127, 0.5169054865837097, -0.7498553395271301, 0.5123915672302246, -0.12859058380126953, 0.30000174045562744, 0.25457116961479187, -0.22760504484176636, 0.12865081429481506, -0.02503875456750393, 0.0218609981238842, -0.02783532440662384)",0,0,0,0.5,0.0,6.0,0,0,0.1065737051792829
28,810,"Hertz, Carmen","Schalper, Diego",1.0197628458498025,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),PCCh,RN,Carmen Hertz Cadiz,Diego Schalper Sepulveda,izquierda,centro_derecha,carmen hertz,diego schalper,negative,,0.5,"(-0.4476974308490753, 0.8539400100708008, -0.11642324179410934, 0.15861710906028748, 0.21785719692707062, -0.3534746766090393, -0.07554683834314346, 0.029872344806790352, 0.060220491141080856, 0.16848766803741455, 0.3126264810562134, 0.12398318946361542)","(0.5000088214874268, -0.012865266762673855, 0.09449426084756851, 0.13503797352313995, 0.8302730917930603, 0.06918229907751083, -0.04271029308438301, 0.020726988092064857, -0.43890637159347534, 0.23074309527873993, -0.03886774554848671, -0.4402972459793091)",0,0,0,-1.0,0.0,3.0,0,0,0.10856573705179295
29,838,"Cariola, Karol","Flores, Camila",1.0223978919631094,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,RN,Karol Cariola Oliva,Camila Flores Oporto,izquierda,centro_derecha,karol cariola,camila flores,positive,,3.0,"(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)","(0.38185131549835205, -0.3507883846759796, -0.2893109917640686, -0.04404988884925842, 0.4093385338783264, 0.002002767054364085, -0.23874852061271667, -0.08113075792789459, -0.24967703223228455, -0.5038391947746277, 0.3828001022338867, -0.4518774151802063)",0,0,0,1.5,0.0,3.0,0,0,0.11055776892430286
30,957,"Alessandri, Jorge","Winter, Gonzalo",1.0316205533596838,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,CS,Jorge Alessandri Vergara,Gonzalo Winter Etcheberry,centro_derecha,izquierda,jorge alessandri,gonzalo winter,negative,,0.5,"(0.4019070565700531, -0.494261234998703, -0.39444541931152344, 0.10104236751794815, 0.13489197194576263, -0.18696853518486023, -0.36178115010261536, 0.06555704772472382, -0.4399808347225189, -0.28970152139663696, -0.21045586466789246, -0.1143282875418663)","(-0.3300555646419525, -0.47246187925338745, -0.04051411896944046, 0.4950537085533142, 0.05116228759288788, 0.33489543199539185, -0.4406455159187317, -0.034857116639614105, -0.2675701379776001, 0.036666177213191986, 0.051199350506067276, 0.2663924992084503)",0,0,1,-1.0,3.0,1.0,0,0,0.11752988047808773
31,1101,"Riquelme, Marcela","Schalper, Diego",1.0421607378129116,Región del Libertador General Bernardo O'Higgins (9),Región del Libertador General Bernardo O'Higgins (9),Ind-CS,RN,Marcela Riquelme Aliaga,Diego Schalper Sepulveda,izquierda,centro_derecha,marcela riquelme,diego schalper,positive,,3.0,"(-0.41041290760040283, -0.04924550652503967, 0.022472137585282326, -0.3464765250682831, 0.30019184947013855, 0.03754614293575287, 0.11124641448259354, 0.11195366829633713, 0.024112602695822716, 0.3178427517414093, -0.13010179996490479, -0.4382248818874359)","(0.5000088214874268, -0.012865266762673855, 0.09449426084756851, 0.13503797352313995, 0.8302730917930603, 0.06918229907751083, -0.04271029308438301, 0.020726988092064857, -0.43890637159347534, 0.23074309527873993, -0.03886774554848671, -0.4402972459793091)",0,0,1,1.5,1.0,3.0,0,0,0.12549800796812746
32,1107,"Ramirez, Guillermo","Yeomans, Gael",1.0421607378129116,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,CS,Guillermo Ramirez Diez,Gael Yeomans Araya,centro_derecha,izquierda,guillermo ramírez,gael yeomans,neutral,,2.0,"(0.29868990182876587, 0.01381832454353571, -0.35624924302101135, 0.5075188279151917, 0.4355458617210388, 0.3775927722454071, -0.4108975827693939, 0.532281756401062, -0.7182883024215698, 0.0009501018794253469, -0.27519160509109497, -0.18727947771549225)","(-0.37476232647895813, -0.3489024341106415, 0.3404775559902191, 0.38837772607803345, 0.29868462681770325, 0.10271790623664856, -0.10603956878185272, -0.050362728536129, -0.16038575768470764, 0.2788885533809662, -0.09136515110731125, 0.303766131401062)",0,0,1,0.5,3.0,1.0,0,0,0.12549800796812746
33,1132,"Naveillan, Gloria","Veloso, Consuelo",1.0434782608695652,Región de la Araucanía (11),Región del Maule (11),Ind-PLR,RD,Gloria Naveillan Arriagada,Consuelo Veloso Avila,derecha,izquierda,gloria naveillan,consuelo veloso,negative,,0.5,"(0.3509194850921631, -0.5929604768753052, -0.0653953030705452, -0.12126999348402023, -0.03534872084856033, -0.10287972539663315, -0.07210421562194824, 0.9167008399963379, 0.6913811564445496, 0.554118275642395, -0.0745723620057106, 0.0649096891283989)","(0.2818373739719391, -0.6542189121246338, -0.34942251443862915, -0.23654358088970184, 0.56219482421875, 0.09943454712629318, -0.15086166560649872, 0.10443440824747086, 0.431319922208786, 1.01397705078125, -0.10678071528673172, -0.031618792563676834)",0,0,0,-1.0,5.0,1.0,0,0,0.1264940239043825
34,1198,"Bravo, Ana Maria","Ramirez, Guillermo",1.0487483530961792,Región de Los Ríos (5),Región Metropolitana de Santiago (47),PS,UDI,Ana Maria Bravo Castro,Guillermo Ramirez Diez,centro_izquierda,centro_derecha,marta bravo,guillermo ramírez,negative,,0.5,"(0.7356284856796265, 0.12260942161083221, -0.7869938611984253, 0.6857600808143616, -0.19628207385540009, 0.6050230264663696, -0.22520001232624054, 0.836810290813446, -0.25716087222099304, 0.17028850317001343, -0.3221546709537506, 0.1648929864168167)","(0.29868990182876587, 0.01381832454353571, -0.35624924302101135, 0.5075188279151917, 0.4355458617210388, 0.3775927722454071, -0.4108975827693939, 0.532281756401062, -0.7182883024215698, 0.0009501018794253469, -0.27519160509109497, -0.18727947771549225)",0,0,0,-1.0,1.0,3.0,0,0,0.13047808764940247
35,1224,"Kaiser, Johannes","Venegas, Nelson",1.0500658761528328,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PLR,PS,Johannes Kaiser Barents-Von Hohenhagen,Nelson Venegas Salazar,derecha,centro_izquierda,johannes kaiser,nelson venegas,positive,,3.0,"(0.09175875782966614, -0.7036693096160889, -0.12319058924913406, -0.13710972666740417, 0.11400880664587021, -0.5006994605064392, -0.06157030537724495, -0.014230264350771904, 0.6679415702819824, -0.6311754584312439, -0.45538759231567383, 0.09736055135726929)","(0.26912909746170044, -0.8069061636924744, -0.31182861328125, 0.04317830875515938, 0.28474611043930054, -0.28283512592315674, -0.4582059383392334, 0.2829451560974121, -0.045918457210063934, -0.5870454907417297, -0.4032384157180786, -0.0365348756313324)",0,0,0,1.5,5.0,3.0,0,0,0.13147410358565748
36,1261,"Cariola, Karol","Longton, Andres",1.0540184453227932,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,RN,Karol Cariola Oliva,Andres Longton Herrera,izquierda,centro_derecha,karol cariola,andrés longton,positive,,3.0,"(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)","(0.6139987111091614, -0.0420677550137043, 0.09631829708814621, -0.2549728453159332, 0.6939718723297119, 0.20735567808151245, -0.21682986617088318, -0.4489363431930542, 0.19323210418224335, -0.21372488141059875, 0.4594913423061371, -0.594648540019989)",0,0,0,1.5,0.0,3.0,0,0,0.1344621513944224
37,1262,"Cariola, Karol","Longton, Andres",1.0540184453227932,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,RN,Karol Cariola Oliva,Andres Longton Herrera,izquierda,centro_derecha,karol cariola,andrés longton,neutral,,2.0,"(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)","(0.6139987111091614, -0.0420677550137043, 0.09631829708814621, -0.2549728453159332, 0.6939718723297119, 0.20735567808151245, -0.21682986617088318, -0.4489363431930542, 0.19323210418224335, -0.21372488141059875, 0.4594913423061371, -0.594648540019989)",0,0,0,0.5,0.0,3.0,0,0,0.1344621513944224
